AÑO,MONEDA,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,COBERTURA,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,GASTO DE AJUSTE,SALVAMENTO,MONTO PAGADO,MONTO DE DEDUCIBLE,MONTO COASEGURO
2015,Extranjera,Banca multiple,1,Estado de Mexico,Contenidos,Extension de cubierta (sin inundacion),Impacto De Vehiculos,1.0,0.0,3626.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Nuevo Leon,Contenidos,Extension de cubierta (sin inundacion),"Rotura De Techos, Vidrios, Paredes",1.0,-278.0,1813.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Distrito Federal,Contenidos,Extension de cubierta (sin inundacion),Roturas De Tuberias O Sistemas De Agua,1.0,-1188.0,3626.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Distrito Federal,Contenidos,Todo Riesgo,Fenomenos De La Naturaleza,1.0,-73.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Distrito Federal,Edificio,Extension de cubierta (sin inundacion),Roturas De Tuberias O Sistemas De Agua,1.0,0.0,1813.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Jalisco,Edificio,Extension de cubierta (sin inundacion),Roturas De Tuberias O Sistemas De Agua,1.0,4436.0,3626.0,0.0,4500.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Distrito Federal,Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,-439.0,800.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Nuevo Leon,Edificio,"Incendio, rayo y explosion",Roturas De Tuberias O Sistemas De Agua,1.0,-309.0,1813.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,1,Distrito Federal,Edificio,Todo Riesgo,Roturas De Tuberias O Sistemas De Agua,1.0,-1977.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Banca multiple,3,Nuevo Leon,Edificio,Extension de cubierta (sin inundacion),Roturas De Tuberias O Sistemas De Agua,1.0,10566.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Captacion, tratamiento y suministro de agua",2,Tabasco,Contenidos,"Incendio, rayo y explosion",Impacto De Vehiculos,1.0,0.0,3370.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Captacion, tratamiento y suministro de agua",2,Veracruz,Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,-297803.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Casinos, loterias y otros juegos de azar",1,Baja California,Edificio,"Incendio, rayo y explosion",Roturas De Tuberias O Sistemas De Agua,1.0,10349.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Centros nocturnos, bares, cantinas y similares",1,Chihuahua,Edificio,"Incendio, rayo y explosion",Impacto De Vehiculos,1.0,0.0,1200.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Centros nocturnos, bares, cantinas y similares",1,Chiapas,Edificio,Todo Riesgo,Falta De Mantenimiento,1.0,10000.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Jalisco,Contenidos,"Incendio, rayo y explosion",Daños Causados Por Impericia De Trabajo,1.0,127044.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Nuevo Leon,Contenidos y Edificio,Extension de cubierta (sin inundacion),Corto Circuito / Electricidad,1.0,0.0,1500.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Nuevo Leon,Contenidos y Edificio,Extension de cubierta (sin inundacion),Impacto De Vehiculos,1.0,0.0,2200.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Nuevo Leon,Contenidos y Edificio,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Chihuahua,Edificio,"Incendio, rayo y explosion",Incendio Provocado,1.0,0.0,1167.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,1,Nuevo Leon,Contenidos y Edificio,Todo Riesgo,Humo O Tizne,1.0,-39729.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,2,Baja California,Edificio,Extension de cubierta (sin inundacion),Impacto De Vehiculos,1.0,127697.0,9000.0,0.0,132178.0,56121.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,3,Sinaloa,Existencias / Bienes Bajo Conv,Bienes en cuartos o aparatos refrigerados o en inc,Escape De Materias Inflamables O Explosivas,1.0,509154.0,8401.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de alimentos y abarrotes,3,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,418007.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de articulos de papeleria, libros, revistas",1,Chihuahua,Contenidos,"Incendio, rayo y explosion",Incendio Provocado,1.0,-56569.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Estado de Mexico,Contenidos y Edificio,Todo Riesgo,Descargas Accidentales De Agua O Vapor,1.0,0.0,2804.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Distrito Federal,Contenidos y Edificio,Todo Riesgo,Fenomenos De La Naturaleza,1.0,-11872.0,2692.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Distrito Federal,Contenidos y Edificio,Todo Riesgo,Humo O Tizne,1.0,-1544159.0,66200.0,0.0,2164218.0,50468.0,0.0
