AÑO,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,MONTO PAGADO,CAUSA
2015,Bancos,1,Estado De Mexico,Contenidos,Humano-Impacto Vehicular,1,0,0,Humano
2015,Bancos,1,Nuevo Leon,Contenidos,"Incidente-Rotura de Techo, Vidrios o Paredes",1,-278,0,Incidente
2015,Bancos,1,Distrito Federal,Contenidos,Agua-Tuberia Rota,1,-1188,0,Agua
2015,Bancos,1,Distrito Federal,Contenidos,Naturaleza-Fenomeno,1,-73,0,Naturaleza
2015,Bancos,1,Distrito Federal,Edificio,Agua-Tuberia Rota,1,0,0,Agua
2015,Bancos,1,Jalisco,Edificio,Agua-Tuberia Rota,1,4436,4500,Agua
2015,Bancos,1,Distrito Federal,Edificio,Incidente-Corto Electrico,1,-439,0,Incidente
2015,Bancos,1,Nuevo Leon,Edificio,Agua-Tuberia Rota,1,-309,0,Agua
2015,Bancos,1,Distrito Federal,Edificio,Agua-Tuberia Rota,1,-1977,0,Agua
2015,Bancos,3,Nuevo Leon,Edificio,Agua-Tuberia Rota,1,10566,0,Agua
2015,Infraestructura Agua,2,Tabasco,Contenidos,Humano-Impacto Vehicular,1,0,0,Humano
2015,Infraestructura Agua,2,Veracruz,Edificio,Incidente-Corto Electrico,1,-297803,0,Incidente
2015,Casa,1,Nuevo Leon,Edificio,Incidente-Explosion,1,444262,0,Incidente
2015,Casa,1,Distrito Federal,Contenidos,Humano-Error,1,0,0,Humano
2015,Casa,1,Jalisco,Contenidos,Humano-Error,1,-510,0,Humano
2015,Casa,1,Distrito Federal,Contenidos,Agua-Tuberia Rota,3,24494,25001,Agua
2015,Casa,1,Estado De Mexico,Contenidos,Agua-Tuberia Rota,3,723,917,Agua
2015,Casa,1,Distrito Federal,Contenidos,Incidente-Corto Electrico,1,10053,0,Incidente
2015,Casa,1,Distrito Federal,Contenidos,Agua-Tuberia Rota,6,153,0,Agua
