Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,310.521,0,45.6,14160.036,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,99912.53,1.776,28.03,2800597.573,56247778
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,126951.235,2.257,19.6,2488734.489,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo-plato,2769.82,0,20.02,55451.796,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,9036.628,251.492,72.33,653577.63,35932
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,16643.691,463.2,39.04,649787.965,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,103401.078,0,6.18,639452.09,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,70.31,22.027,60.75,4271.33,3192
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,135.772,42.535,29.64,4024.28,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,231.4,24.112,65.61,15182.15,9597
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,437.623,45.6,32.94,14415.3,0
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,795.06,82.373,38.89,30918.4,9652
2017,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1072.809,111.149,24.84,26653.635,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,57.714,0,45.61,2632.569,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,1,Carne,37096.35,1.756,28.41,1053968.168,21120830
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,8,Ganado en pie,47205.055,2.235,19.6,925025.295,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,586.644,238.959,72.49,42528.25,2455
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,1108.266,451.432,38.99,43210.239,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36626.804,0,6.17,225814.73,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,38.82,20.475,60.88,2363.36,1896
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,75.264,39.696,29.7,2235.34,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,36.01,24.298,65.51,2359.02,1482
